@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric

@data
3743,'2019/02/12 12:39:53:842',6,24.402931,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,2.850614,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,0
3744,'2019/02/12 12:39:53:853',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3745,'2019/02/12 12:39:53:863',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3746,'2019/02/12 12:39:53:875',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3747,'2019/02/12 12:39:53:887',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3748,'2019/02/12 12:39:53:897',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3749,'2019/02/12 12:39:53:908',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3750,'2019/02/12 12:39:53:920',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3751,'2019/02/12 12:39:53:930',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3752,'2019/02/12 12:39:53:942',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3753,'2019/02/12 12:39:53:953',6,0.497712,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.996435,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,0
3754,'2019/02/12 12:39:53:963',6,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0
3755,'2019/02/12 12:39:53:975',6,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0
3756,'2019/02/12 12:39:53:987',6,130.544388,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,72.252182,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0
