@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2019/02/14 11:46:36:357',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
2,'2019/02/14 11:46:36:367',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
3,'2019/02/14 11:46:36:378',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
4,'2019/02/14 11:46:36:390',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
5,'2019/02/14 11:46:36:401',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
6,'2019/02/14 11:46:36:411',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
7,'2019/02/14 11:46:36:424',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
8,'2019/02/14 11:46:36:434',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
9,'2019/02/14 11:46:36:444',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
10,'2019/02/14 11:46:36:457',1,57.20681,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,32.534603,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1
11,'2019/02/14 11:46:36:468',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
12,'2019/02/14 11:46:36:478',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
13,'2019/02/14 11:46:36:490',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
14,'2019/02/14 11:46:36:501',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
15,'2019/02/14 11:46:36:512',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
16,'2019/02/14 11:46:36:524',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
17,'2019/02/14 11:46:36:535',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
18,'2019/02/14 11:46:36:545',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
19,'2019/02/14 11:46:36:557',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
20,'2019/02/14 11:46:36:567',1,16.605667,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,4.658157,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1
21,'2019/02/14 11:46:36:578',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
22,'2019/02/14 11:46:36:591',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
23,'2019/02/14 11:46:36:601',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
24,'2019/02/14 11:46:36:611',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
25,'2019/02/14 11:46:36:623',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
26,'2019/02/14 11:46:36:634',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
27,'2019/02/14 11:46:36:644',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
28,'2019/02/14 11:46:36:657',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
29,'2019/02/14 11:46:36:667',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
30,'2019/02/14 11:46:36:678',1,156.876801,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,125.855873,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,1
31,'2019/02/14 11:46:36:693',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
32,'2019/02/14 11:46:36:701',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
33,'2019/02/14 11:46:36:711',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
34,'2019/02/14 11:46:36:724',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
35,'2019/02/14 11:46:36:734',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
36,'2019/02/14 11:46:36:744',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
37,'2019/02/14 11:46:36:757',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
38,'2019/02/14 11:46:36:767',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
39,'2019/02/14 11:46:36:778',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
40,'2019/02/14 11:46:36:791',1,2.672219,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,12.678694,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,1
41,'2019/02/14 11:46:36:801',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
42,'2019/02/14 11:46:36:811',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
43,'2019/02/14 11:46:36:824',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
44,'2019/02/14 11:46:36:834',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
45,'2019/02/14 11:46:36:844',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
46,'2019/02/14 11:46:36:857',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
47,'2019/02/14 11:46:36:868',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
48,'2019/02/14 11:46:36:877',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
49,'2019/02/14 11:46:36:890',1,1.135351,33.068501,29.99946,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,1.162817,42.968349,58.520405,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,1
